market,rows_2h,period,type,status
3q_bothteamsscored_yn,29,3q,btts,mapped
5i_team_points_ou,29,i5,tt,mapped
4q_bothteamsscored_yn,28,4q,btts,mapped
2q_tt_away,24,2q,tt_away,mapped
1s_team_points_ou,24,s1,tt,mapped
fieldgoals_made_yn_home,23,fg,fg_yn_home,mapped
first_team_to_15_points,23,fg,race_to_15,mapped
first_team_to_20_points,23,fg,race_to_20,mapped
2q_bothteamsscored_yn,20,2q,btts,mapped
3i_team_points_ou,20,i3,tt,mapped
4i_points_yn_away,20,i4,score_yn_away,mapped
4i_points_yn_home,20,i4,score_yn_home,mapped
fieldgoals_made_yn_away,20,fg,fg_yn_away,mapped
first_team_to_10_points,20,fg,race_to_10,mapped
race_to_three_runs,20,fg,race_to_3,mapped
5i_points_yn_home,17,i5,score_yn_home,mapped
1ix3_points_yn_home,16,f3,score_yn_home,mapped
1p_h2h,16,p1,ml,mapped
1p_spreads,16,p1,sp,mapped
1q_touchdowns_ou,16,1q,tds_ou,mapped
2h_touchdowns_ou,16,2h,tds_ou,mapped
3i_points_yn_home,16,i3,score_yn_home,mapped
player_to_score_first_touchdown,15,fg,,not-a-game-market (player/special prop row)
live_tt_home,12,live,tt_home,mapped
1ix5_points_yn,12,f5,score_yn,mapped
1p_totals,12,p1,tot,mapped
5i_points_yn_away,12,i5,score_yn_away,mapped
6i_team_points_ou,12,i6,tt,mapped
batting_homeruns_yn_home,12,fg,hr_yn_home,mapped
lasttoscore_yn_away,12,fg,last_to_score_away,mapped
lasttoscore_yn_home,12,fg,last_to_score_home,mapped
batting_homeruns_yn_away,10,fg,hr_yn_away,mapped
2i_team_points_ou,8,i2,tt,mapped
2q_touchdowns_ou,8,2q,tds_ou,mapped
6i_points_yn_away,8,i6,score_yn_away,mapped
player_to_score_a_touchdown,7,fg,,not-a-game-market (player/special prop row)
1s_spreads,6,s1,sp,mapped
3q_points_yn_home,6,3q,score_yn_home,mapped
total_field_goals_ou,6,fg,fg_ou,mapped
touchdowns_yn,6,fg,td_yn,mapped
3q_team_points_ou,5,3q,tt,mapped
2i_points_yn_away,4,i2,score_yn_away,mapped
2i_points_yn_home,4,i2,score_yn_home,mapped
3i_points_yn_away,4,i3,score_yn_away,mapped
4q_touchdowns_ou,4,4q,tds_ou,mapped
6i_points_yn_home,4,i6,score_yn_home,mapped
fieldgoals_made_yn,4,fg,fg_yn,mapped
receiving_touchdowns_yn_away,4,fg,rec_td_yn_away,mapped
team_to_score_the_first_field_goal,2,fg,first_fg_team,mapped
