source,label,rows_today,key,rule,status
kalshi,strikeouts,204,pitcher-strikeouts|batter-strikeouts,position,position
underdog,1H Receiving TDs,203,1h-receiving-tds,period+manual,mapped
underdog,Rush Attempts,199,rushing-attempts,manual,mapped
comparenbet,player_batting_triples,190,triples,manual,mapped
betrivers,Passing & Rushing Yards,187,pass-rush-yards,manual,mapped
fanduel,Total Receptions,187,receptions,manual,mapped
steezanomics,Longest Reception,186,longest-reception,manual,mapped
underdog,1Q Pass Yards,186,1q-passing-yards,period+app-alias,mapped
underdog,1st Set Games Won,186,1s-games-won,period+app-alias,mapped
pinnacle,Total Home Runs,185,home-runs,manual,mapped
draftkings,Rushing Yards,184,rushing-yards,app-alias,mapped
underdog,1Q Receiving Yards,181,1q-receiving-yards,period+manual,mapped
sleeper,receptions,177,receptions,app-alias,mapped
underdog,Pass Yards,172,passing-yards,app-alias,mapped
sleeper,longest_reception,170,longest-reception,manual,mapped
steezanomics,Rush + Rec Yards,165,rush-rec-yards,manual,mapped
betmgm,Rushing Yards,164,rushing-yards,app-alias,mapped
draftkings,Receptions,164,receptions,app-alias,mapped
betrivers,Touchdown Passes,158,passing-tds,manual,mapped
underdog,1H Rush TDs,155,1h-rushing-tds,period+app-alias,mapped
underdog,Longest Completion,146,longest-completion,app-alias,mapped
betmgm,Passing Yards,143,passing-yards,app-alias,mapped
betrivers,Stolen Bases,136,stolen-bases,app-alias,mapped
oddstrader,Player Doubles,135,doubles,manual,mapped
underdog,Kills on Map 1,134,,no-app-sport,no-app-sport
underdog,Targets,134,targets,manual,mapped
draftkings,Total Bases,128,total-bases,manual,mapped
underdog,Fumbles Lost,126,fumbles-lost,manual,mapped
betrivers,Rushing & Receiving Yards,124,rush-rec-yards,manual,mapped
kalshi,passing_tds,121,passing-tds,manual,mapped
betmgm,Total Passing + Rushing Yards,119,pass-rush-yards,manual,mapped
underdog,1H Rush + Rec Yards,119,1h-rush-rec-yards,period+manual,mapped
betrivers,Pass Attempts,118,pass-attempts,manual,mapped
draftkings,Rushing + Receiving Yards,118,rush-rec-yards,manual,mapped
pinnacle,Total Rushing Yards,118,rushing-yards,manual,mapped
fanduel,Passing Yds,117,passing-yards,manual,mapped
underdog,Stolen Bases,117,stolen-bases,app-alias,mapped
underdog,Sets Won,115,sets-won,manual,mapped
pinnacle,Total Receptions,113,receptions,manual,mapped
underdog,1Q Rush TDs,113,1q-rushing-tds,period+app-alias,mapped
betmgm,Rushing and Reception Yards,111,rush-rec-yards,manual,mapped
underdog,1st Set Games Played,108,1s-games-played,period+manual,mapped
betmgm,TouchdownPass,106,passing-tds,manual,mapped
draftkings,Stolen Bases,104,stolen-bases,app-alias,mapped
underdog,Pass Attempts,104,pass-attempts,manual,mapped
underdog,Pass TDs,104,passing-tds,app-alias,mapped
comparenbet,player_last_goal_scorer,103,last-goalscorer,manual,mapped
betrivers,Strikeouts thrown,102,pitcher-strikeouts,source-manual,mapped
comparenbet,player_last_td,101,last-td-scorer,manual,mapped
steezanomics,Passing Yards,100,passing-yards,app-alias,mapped
sleeper,passing_touchdowns,99,passing-tds,app-alias,mapped
fanduel,Passing TDs,98,passing-tds,manual,mapped
underdog,1Q Receiving TDs,98,1q-receiving-tds,period+manual,mapped
underdog,INTs Thrown,98,interceptions-thrown,app-alias,mapped
betmgm,RushingReceivingYards,96,rush-rec-yards,manual,mapped
betrivers,Interceptions Thrown,96,interceptions-thrown,manual,mapped
underdog,Completions,94,passing-completions,manual,mapped
comparenbet,player_first_goal_scorer,92,first-goalscorer,manual,mapped
steezanomics,Passing Touchdowns,92,passing-tds,app-alias,mapped
steezanomics,Stolen Bases,92,stolen-bases,app-alias,mapped
betrivers,Pass Completions,90,passing-completions,manual,mapped
underdog,1H Pass TDs,90,1h-passing-tds,period+app-alias,mapped
draftkings,Outs,89,pitcher-outs,app-alias,mapped
underdog,Batter Strikeouts,89,batter-strikeouts,app-alias,mapped
underdog,1Q Pass TDs,87,1q-passing-tds,period+app-alias,mapped
draftkings,Passing Yards,86,passing-yards,app-alias,mapped
underdog,1Q Rush + Rec Yards,86,1q-rush-rec-yards,period+manual,mapped
underdog,Games Played,86,games-played,manual,mapped
underdog,Sets Played,86,sets-played,manual,mapped
underdog,Tiebreakers Played,85,tiebreakers-played,manual,mapped
underdog,Aces,83,aces,app-alias,mapped
underdog,Assists,82,assists,app-alias,mapped
underdog,Games Won,82,games-won,app-alias,mapped
underdog,Kicking Points,82,kicking-points,manual,mapped
steezanomics,Rushing Attempts,78,rushing-attempts,manual,mapped
steezanomics,Longest Rush,75,longest-rush,manual,mapped
underdog,Doubles,75,doubles,app-alias,mapped
underdog,Singles,75,singles,manual,mapped
underdog,XP Made,75,extra-points-made,manual,mapped
underdog,FG Made,74,field-goals-made,app-alias,mapped
underdog,Fantasy Points in Games 1+2,74,,no-app-sport,no-app-sport
draftkings,Rushing Attempts,73,rushing-attempts,manual,mapped
draftkings,Strikeouts Thrown,73,pitcher-strikeouts,source-manual,mapped
sleeper,passing_and_rushing_yards,71,pass-rush-yards,manual,mapped
betrivers,Rush Attempts,70,rushing-attempts,manual,mapped
betmgm,Receptions,69,receptions,app-alias,mapped
fanduel,Rushing + Receiving Yds,69,rush-rec-yards,manual,mapped
underdog,Last TD Scorer,67,last-td-scorer,manual,mapped
comparenbet,player_reception_tds,65,receiving-tds,manual,mapped
4codds,TOTAL HITS ALLOWED,64,pitcher-hits-allowed,source-manual,mapped
sleeper,rushing_attempts,63,rushing-attempts,manual,mapped
betmgm,Longest Reception,60,longest-reception,manual,mapped
betrivers,Touchdown Passes Thrown,60,passing-tds,manual,mapped
pinnacle,Total Passing Yards,60,passing-yards,manual,mapped
underdog,Points ,59,points,app-alias,mapped
underdog,Rebounds,59,rebounds,app-alias,mapped
draftkings,Passing + Rushing Yards,58,pass-rush-yards,manual,mapped
underdog,Finishing Position,58,,skip:motorsport (no app sport),skip
underdog,Breakpoints Won,57,break-points-won,manual,mapped
comparenbet,player_receiving_targets,56,targets,manual,mapped
sleeper,games_played,56,games-played,manual,mapped
sleeper,rushing_and_receiving_yards,56,rush-rec-yards,manual,mapped
sleeper,longest_rush,55,longest-rush,manual,mapped
betrivers,Rushing Attempts,54,rushing-attempts,manual,mapped
draftkings,Hits Allowed,54,pitcher-hits-allowed,app-alias,mapped
sleeper,games_won,54,games-won,app-alias,mapped
draftkings,Hits Allowed + Walks Allowed + Earned Runs Allowed,53,pitcher-hits-walks-earned-runs,manual,mapped
pinnacle,Total Touchdown Passes,53,passing-tds,manual,mapped
underdog,Regular Season Goals,52,,skip:season-long future,skip
4codds,TEAM TOTAL RUNS,51,,team-market,not-a-player-prop
betrivers,Yards of Longest Reception,51,longest-reception,manual,mapped
sleeper,kicking_points,48,kicking-points,manual,mapped
underdog,Strikeouts,45,pitcher-strikeouts|batter-strikeouts,position,position
4codds,TOTAL STRIKEOUTS,44,pitcher-strikeouts,source-manual,mapped
pinnacle,Total Rush Attempts,42,rushing-attempts,manual,mapped
sleeper,longest_passing_completion,42,longest-completion,manual,mapped
underdog,Pitching Outs,42,pitcher-outs,app-alias,mapped
underdog,Points,41,points,app-alias,mapped
draftkings,Passing Attempts,38,pass-attempts,manual,mapped
draftkings,Passing Completions,38,passing-completions,manual,mapped
oddstrader,Receptions,37,receptions,app-alias,mapped
underdog,Regular Season Points,37,,skip:season-long future,skip
underdog,Sacks,37,sacks,app-alias,mapped
